Unnamed: 0,Name,Address,GM Name,Country,City,LinkedIn URL
61,Pullman Khon Kaen Raja Orchid,"9, 9 Prachasumran Road, Nai Mueang, Muang, Khon Kaen 40000, Thailand",Stanley Chan,Thailand,Khon Kaen 40000,https://th.linkedin.com/in/stanley-chan-39a14710
62,Novotel Bangkok Future Park Rangsit,"114 Phahonyothin Rd, Prachathipat, Thanyaburi District, Pathum Thani 12130, Thailand",,Thailand,Pathum Thani 12130,
63,ibis Bangkok IMPACT,"93 Popular Road, Banmai Subdistrict, NONTHABURI, 11120, Thailand","No specific information is provided in the sources about the General Manager of ibis Bangkok IMPACT. Therefore, the response is:

- Blank.",Thailand,11120,https://th.linkedin.com/in/boima-harris-92192870
64,Novotel Bangkok Impact,"94 Popular Rd, Tambon Ban Mai, Pak Kret District, Nonthaburi 11120, Thailand",,Thailand,Nonthaburi 11120,
65,ibis Styles Bangkok Ratchada,"212 Ratchadaphisek Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Bangkok 10310, Thailand",,Thailand,Bangkok 10310,
66,Swissôtel Bangkok Ratchada,"204 Ratchadaphisek Rd, Huai Khwang, Khet Huai Khwang, Bangkok 10320, Thailand",No data available.,Thailand,Bangkok 10320,
67,Pullman Bangkok King Power,"8, 2 Rang Nam Alley, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400, Thailand","No specific information is provided about the current General Manager of Pullman Bangkok King Power in the search results. 

- **Blank**",Thailand,Bangkok 10400,https://th.linkedin.com/in/ulhas-shetty-92877053
68,Mercure Bangkok Makkasan,"1599 Kamphaeng Phet 7 Rd, Khwaeng Makkasan, Khet Ratchathewi, Bangkok 10400, Thailand",,Thailand,Bangkok 10400,
69,Grand Mercure Bangkok Atrium,"1880 New Petchaburi Rd, Bangkapi, Khet Huai Khwang, Bangkok 10310, Thailand",Roger Parnow,Thailand,Bangkok 10310,https://th.linkedin.com/in/roger-parnow-5a372185
70,Novotel Bangkok Platinum Pratunam,"220 Phetchaburi Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",No data available.,Thailand,Bangkok 10400,
71,Mövenpick BDMS Wellness Resort Bangkok,"2 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",,Thailand,Bangkok 10330,
72,VIE Hotel Bangkok - MGallery,"117 39, 40 Phaya Thai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",Nicolas Peth,Thailand,Bangkok 10400,https://th.linkedin.com/in/nicpeth
73,Mercure Bangkok Sukhumvit 11,"18 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Nikolay Stoyanov,Thailand,Bangkok 10110,https://bg.linkedin.com/in/nikolayestoyanov
74,Mövenpick Hotel Sukhumvit 15 Bangkok,"47 Sukhumvit 15, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Jay Sudhakaran,Thailand,Bangkok 10110,https://th.linkedin.com/in/jay-sudhakaran-713a8519
75,Grand Mercure Bangkok Asoke Residence,"50, 5 Sukhumvit 19 Alley, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Jon Warmington,Thailand,Bangkok 10110,https://th.linkedin.com/in/jon-warmington-9ab53211
76,Novotel Bangkok Ploenchit Sukhumvit,"566 Phloen Chit Rd, Khwaeng Lumphini, Pathum Wan, Bangkok 10330, Thailand",,Thailand,Bangkok 10330,
77,Mercure Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Orawan Vicharnarong,Thailand,Bangkok 10330,https://th.linkedin.com/in/orawan-vicharnarong-8550a9123
78,ibis Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Raphael Hirsch,Thailand,Bangkok 10330,https://th.linkedin.com/in/raphael-hirsch-91357436
79,Novotel Bangkok on Siam Square,"392, 44 Siam Square Soi 6, Khwaeng Pathum Wan, Pathum Wan, Bangkok 10330, Thailand",Gerald Hougardy,Thailand,Bangkok 10330,https://th.linkedin.com/in/gerald-hougardy-a75b97237?trk=public_post-text
80,Sofitel Bangkok Sukhumvit,"189 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Pana,Thailand,Bangkok 10110,https://th.linkedin.com/in/pana-ungkap-5b1731123
81,TRIBE Living Bangkok Sukhumvit 39,"122 Soi Sukhumvit 39, Khwaeng Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Chef Natra,Thailand,Bangkok 10110,https://id.linkedin.com/in/donald-tampubolon-90321a296
82,Novotel Suites Bangkok Sukhumvit 39,"5/9 Soi Phromsri, Soi Sukhumvit 39, Klongton-nua, Watthana, Bangkok 10110, Thailand",,Thailand,Bangkok 10110,
83,Novotel Bangkok Sukhumvit 4,"27 Sukhumvit 4 Alley, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",Denis,Thailand,Bangkok 10110,https://th.linkedin.com/in/cryptocannabis
84,ibis Styles Bangkok Sukhumvit 4,"27 Sukhumvit 4 Alley, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",No data available.,Thailand,Bangkok 10110,
85,ibis Bangkok Sukhumvit 4,"41 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",No information is available for the General Manager of ibis Bangkok Sukhumvit 4.,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
86,Novotel Living Bangkok Sukhumvit Legacy,"12-14 Sukhumvit 29 Alley Klong Toey Nua, Bangkok 10110, Thailand",Kanta Hanvesakul,Thailand,Bangkok 10110,https://th.linkedin.com/in/kanta-hanvesakul-a222241b
87,Novotel Bangkok Sukhumvit 20,"19/9 Sukhumvit 20 Alley, Khwaeng Khlong Toei, Khlong Toei, Bangkok 10110, Thailand",Kanta Hanvesakul,Thailand,Bangkok 10110,https://th.linkedin.com/in/kanta-hanvesakul-a222241b
88,Mercure Bangkok Sukhumvit 24,"5, 1 Sukhumvit Rd, Khlong Tan, Khet Khlong Toei, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
89,Ibis Bangkok Sukhumvit 24,"5, 1 Sukhumvit 24 Road, Khwaeng Khlong Tan, Khet Khlong Toei, Bangkok 10110, Thailand",,Thailand,Bangkok 10110,
90,Homm Sukhumvit 34 Bangkok,"40 ซอย Soi Sukhumvit 34, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",No data available.,Thailand,Bangkok 10110,
91,Novotel Bangkok Suvarnabhumi Airport,"Suvarnabhumi Airport, 999, Nong Prue, Bang Phli District, Samut Prakan 10540, Thailand",Chris,Thailand,Samut Prakan 10540,https://www.linkedin.com/in/thechrisdo
92,SO/ Bangkok,"2 N Sathon Rd, Silom, Bang Rak, Bangkok 10500, Thailand",No data available.,Thailand,Bangkok 10500,
93,ibis Styles Bangkok Silom,"289 Si Lom Rd, Silom, Bang Rak, Bangkok 10500, Thailand","No specific name is provided in the search results for the General Manager of ibis Styles Bangkok Silom. 

- **Blank**",Thailand,Bangkok 10500,https://th.linkedin.com/in/piyanon-charoensri-8aa52193
94,Mercure Bangkok Surawong,"222 Surawong Rd, Si Phraya, Bang Rak, Bangkok 10500, Thailand",,Thailand,Bangkok 10500,
95,Banyan Tree Bangkok,"Located in: Thai Wah Plaza Co.,LTD, 21/100 S Sathon Rd, Thung Maha Mek, Sathon, Bangkok 10120, Thailand",Eddy See,Thailand,Bangkok 10120,https://sg.linkedin.com/in/eddy-see-a41925128
96,Pullman Bangkok Hotel G,"188 Si Lom Rd, Khwaeng Suriya Wong, Khet Bang Rak, Bangkok 10500, Thailand",Marie Bertrand.,Thailand,Bangkok 10500,https://fr.linkedin.com/in/marieevbertrand
97,ibis Bangkok Sathorn,"Ngam Duphli Alley, Khwaeng Thung Maha Mek, Khet Sathon, Bangkok 10120, Thailand",Nikolay Stoyanov.,Thailand,Bangkok 10120,https://bg.linkedin.com/in/nikolayestoyanov
98,ibis Styles Bangkok Sukhumvit Phra Khanong,"1122 Sukhumvit Rd, Khwaeng Phra Khanong, Khet Khlong Toei, Bangkok 10110, Thailand",,Thailand,Bangkok 10110,
99,ibis Bangkok Riverside,"27 Soi Charoen Nakhon 17, Khwaeng Bang Lamphu Lang, Khet Khlong San, Bangkok 10600, Thailand",Vinod Singh Negi,Thailand,Bangkok 10600,https://th.linkedin.com/in/vinod-singh-negi-1a475024
100,Mövenpick Resort Khao Yai,"Nakornratch, T Wangsai A, Pak Chong District, Nakhon Ratchasima 30130, Thailand",No information available.,Thailand,Nakhon Ratchasima 30130,
101,Pullman Khon Kaen Raja Orchid,"9, 9 Prachasumran Road, Nai Mueang, Muang, Khon Kaen 40000, Thailand",Sirilug Kraisoda,Thailand,Khon Kaen 40000,
102,Novotel Bangkok Future Park Rangsit,"114 Phahonyothin Rd, Prachathipat, Thanyaburi District, Pathum Thani 12130, Thailand",No data available.,Thailand,Pathum Thani 12130,
103,ibis Bangkok IMPACT,"93 Popular Road, Banmai Subdistrict, NONTHABURI, 11120, Thailand",No data available for the General Manager of ibis Bangkok IMPACT.,Thailand,11120,https://th.linkedin.com/in/eric-rimbeuf-garnier-8b063a61
104,Novotel Bangkok Impact,"94 Popular Rd, Tambon Ban Mai, Pak Kret District, Nonthaburi 11120, Thailand",No data available.,Thailand,Nonthaburi 11120,
105,ibis Styles Bangkok Ratchada,"212 Ratchadaphisek Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Bangkok 10310, Thailand",,Thailand,Bangkok 10310,
106,Swissôtel Bangkok Ratchada,"204 Ratchadaphisek Rd, Huai Khwang, Khet Huai Khwang, Bangkok 10320, Thailand",,Thailand,Bangkok 10320,
107,Pullman Bangkok King Power,"8, 2 Rang Nam Alley, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400, Thailand",Luc Bollen,Thailand,Bangkok 10400,https://hk.linkedin.com/in/ljjbollen
108,Mercure Bangkok Makkasan,"1599 Kamphaeng Phet 7 Rd, Khwaeng Makkasan, Khet Ratchathewi, Bangkok 10400, Thailand",No data available.,Thailand,Bangkok 10400,
109,Grand Mercure Bangkok Atrium,"1880 New Petchaburi Rd, Bangkapi, Khet Huai Khwang, Bangkok 10310, Thailand",Roger Parnow,Thailand,Bangkok 10310,https://th.linkedin.com/in/roger-parnow-5a372185
110,Novotel Bangkok Platinum Pratunam,"220 Phetchaburi Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",No updated data available.,Thailand,Bangkok 10400,
111,Mövenpick BDMS Wellness Resort Bangkok,"2 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","No specific name is provided in the sources for the General Manager of Mövenpick BDMS Wellness Resort Bangkok. 

- **Blank**",Thailand,Bangkok 10330,https://th.linkedin.com/in/rubelmmiah
112,VIE Hotel Bangkok - MGallery,"117 39, 40 Phaya Thai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",Nicolas Peth,Thailand,Bangkok 10400,https://th.linkedin.com/in/nicpeth
113,Mercure Bangkok Sukhumvit 11,"18 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Nikolay Stoyanov,Thailand,Bangkok 10110,https://bg.linkedin.com/in/niksto
114,Mövenpick Hotel Sukhumvit 15 Bangkok,"47 Sukhumvit 15, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Jay Sudhakaran,Thailand,Bangkok 10110,https://th.linkedin.com/in/jay-sudhakaran-713a8519
115,Grand Mercure Bangkok Asoke Residence,"50, 5 Sukhumvit 19 Alley, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Jon Warmington,Thailand,Bangkok 10110,https://th.linkedin.com/in/jon-warmington-9ab53211
116,Novotel Bangkok Ploenchit Sukhumvit,"566 Phloen Chit Rd, Khwaeng Lumphini, Pathum Wan, Bangkok 10330, Thailand",,Thailand,Bangkok 10330,
117,Mercure Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Nikolay Stoyanov,Thailand,Bangkok 10330,https://bg.linkedin.com/in/nikolay-stoyanov-4301172
118,ibis Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Nikolay Stoyanov,Thailand,Bangkok 10330,https://bg.linkedin.com/in/niksto
119,Novotel Bangkok on Siam Square,"392, 44 Siam Square Soi 6, Khwaeng Pathum Wan, Pathum Wan, Bangkok 10330, Thailand",Arunee Nopparat,Thailand,Bangkok 10330,https://th.linkedin.com/in/arunee-somudorn-595980b8
120,Sofitel Bangkok Sukhumvit,"189 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Pana,Thailand,Bangkok 10110,https://th.linkedin.com/in/pana-ungkap-5b1731123
121,TRIBE Living Bangkok Sukhumvit 39,"122 Soi Sukhumvit 39, Khwaeng Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",No data available.,Thailand,Bangkok 10110,
122,Novotel Suites Bangkok Sukhumvit 39,"5/9 Soi Phromsri, Soi Sukhumvit 39, Klongton-nua, Watthana, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
123,Novotel Bangkok Sukhumvit 4,"27 Sukhumvit 4 Alley, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",No data available.,Thailand,Bangkok 10110,
124,ibis Styles Bangkok Sukhumvit 4,"27 Sukhumvit 4 Alley, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",No data available for the General Manager of ibis Styles Bangkok Sukhumvit 4.,Thailand,Bangkok 10110,https://th.linkedin.com/in/piyada-anyoo-beaudet-4453766
125,ibis Bangkok Sukhumvit 4,"41 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",Vinod Singh Negi,Thailand,Bangkok 10110,https://th.linkedin.com/in/vinod-singh-negi-1a475024
126,Novotel Living Bangkok Sukhumvit Legacy,"12-14 Sukhumvit 29 Alley Klong Toey Nua, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
