Hotel Name,Second Span Text,Link URL,Ownership,Management,Mission,Star_Rating,clean_ownership
AMARI BANGKOK,Bangkok,http://www.amari.com/,Minor International Public Company Limited owns 100% of the hotel,Amari Hotels and Resorts,"At AMARI BANGKOK, we create unforgettable experiences by blending Thai hospitality with contemporary luxury, making every guest feel like a VIP.",4,Minor
AMARI DON MUANG AIRPORT BANGKOK,Bangkok,https://www.amari.com/donmuang/,"Amari Hotels and Resorts, 100%",Onyx Hospitality Group,Your gateway to authentic Thai hospitality and modern convenience at the doorstep of Don Mueang Airport.,4,Amari Hotels and Resorts
AMBASSADOR HOTEL BANGKOK,Bangkok,http://www.amtel.co.th/,AMTEL Group owns 100% of the hotel,The property is self-managed,"Where modern luxury meets Thai hospitality, creating a home away from home experience for every guest.",4,AMTEL Group
ANANTARA BANGKOK RIVERSIDE RESORT & SPA,Bangkok,https://bangkok-riverside.anantara.com/,Minor International Public Company Limited owns a majority stake in the hotel.,"Anantara Hotels, Resorts & Spas","Where riverside serenity meets urban vibrancy, creating unforgettable experiences for every guest.",5,Minor
ANANTARA SIAM HOTEL,Bangkok,https://siam-bangkok.anantara.com/,Minor International Public Company Limited owns 100% of ANANTARA SIAM HOTEL,"Anantara Hotels, Resorts & Spas","At ANANTARA SIAM HOTEL, we strive to create a sanctuary in the heart of Bangkok where traditional Thai hospitality meets contemporary luxury, ensuring each guest experiences a harmonious blend of culture and comfort.",5,Minor
A-ONE BANGKOK HOTEL,Bangkok,http://www.a-onehotel.com/bangkok-pattaya/,"A-ONE Hotel Group, 100%",Managed by A-ONE Hotel Group,"Where luxury meets comfort, creating unforgettable experiences in the heart of Bangkok.",4,A-ONE Hotel Group
ARAWANA REGENCY  PARK SUKHUMVIT HOTEL,Bangkok,https://arawanagroup.com/arawana-regency-park-sukhumvit/,"Arawana Group, 100%",Managed internally by Arawana Group,"At Arawana Regency Park Sukhumvit Hotel, we strive to create a warm and welcoming oasis in the heart of the bustling city, where every guest feels like a VIP.",4,Arawana Group
ARISTON HOTEL,Bangkok,http://aristonhotelbkk.com/,"Ariston Hospitality Group, 100%",Independent,"Where elegance meets comfort, creating unforgettable experiences.",4,Ariston Hospitality Group
ARIYASOMVILLA,Bangkok,http://www.ariyasom.com/,Family-owned boutique hotel,,"Where tradition meets tranquility, creating a sanctuary in the heart of the city.",5,Family-owned boutique hotel
"ARNOMA HOTEL, BANGKOK",Bangkok,http://www.arnoma.com/,"Arnom Group owns 100% of ARNOMA HOTEL, BANGKOK",Managed independently,"Where tradition meets modernity, ARNOMA HOTEL, BANGKOK is your gateway to authentic Thai hospitality with a contemporary twist.",4,Arnom Group
ASAWIN GRAND CONVENTION HOTEL,Bangkok,https://www.asawinhotel.com/,Asawin Hospitality Group owns 100% of ASAWIN GRAND CONVENTION HOTEL,The property is self-managed by Asawin Hospitality Group,"At ASAWIN GRAND CONVENTION HOTEL, we redefine grandeur by blending modern sophistication with warm Thai hospitality to create unforgettable experiences for our guests.",4,Asawin Hospitality Group
ASCOTT SATHORN BANGKOK,Bangkok,https://www.the-ascott.com/en/index.html,"The Ascott Limited, 100%",The Ascott Limited,"At ASCOTT SATHORN BANGKOK, we redefine luxury living with a touch of Thai hospitality, offering our guests a vibrant and sophisticated home away from home experience.",5,Ascott
ASCOTT THONGLOR BANGKOK,Bangkok,https://www.discoverasr.com/th/ascott-the-residence/thailand/ascott-thonglor-bangkok,"The Ascott Limited, 100%",The Ascott Limited,"Where elegance meets comfort, creating a home away from home in the heart of Bangkok.",5,Ascott
ASIA HOTEL BANGKOK,Bangkok,http://www.asiahotel.co.th/asia_bangkok/,"The hotel is owned by Asia Hotel Public Company Limited, with 100% ownership","The property is managed by Asia Hotel Management Co., Ltd.","At Asia Hotel Bangkok, we strive to create a harmonious blend of traditional Thai hospitality and modern comfort, ensuring a memorable stay for every guest.",4,"Asia Hotel Public Company Limited,"
ASPIRA SKYY,Bangkok,http://www.skyyhotel.com/,ASPIRA Hotels & Resorts owns 100% of ASPIRA SKYY,Managed by ASPIRA Hospitality,Elevating your experience to new heights at ASPIRA SKYY - where luxury meets the sky,4,ASPIRA Hotels & Resorts
AVANA BANGKOK HOTEL,Bangkok,http://www.avanahotel.com/,AVANA Hospitality Group owns 100% of the hotel,AVANA Hotels & Resorts,"At AVANA Bangkok Hotel, we redefine luxury with a touch of Thai hospitality, creating unforgettable experiences for our guests.",4,AVANA Hospitality Group
AVANI RIVERSIDE BANGKOK HOTEL,Bangkok,https://www.minorhotels.com/en/avani/riverside-bangkok,Minor Hotels (100%),AVANI Hotels & Resorts,"Where urban vibes meet riverside charm, experience a refreshing take on modern hospitality at AVANI Riverside Bangkok Hotel.",5,Minor
AVANI SUKHUMVIT BANGKOK,Bangkok,https://www.avanihotels.com/th/sukhumvit-bangkok,"Minor International PCL, 100%",AVANI Hotels & Resorts,"At AVANI Sukhumvit Bangkok, we redefine urban living with a touch of local charm, offering a vibrant and contemporary experience that's uniquely Bangkok.",4,Minor
BAIYOKE SUITE HOTEL,Bangkok,http://baiyokehotel.com/,"Baiyoke Group, 100%",Managed internally by Baiyoke Group,Redefining luxury with panoramic views and Thai hospitality.,4,Baiyoke Group
"BANDARA SUITES SILOM,BANGKOK",Bangkok,http://www.bandaragroup.com/bandara-suites-silom-bangkok/,"Bandara Group, 100%",,Where modern comfort meets Thai elegance - your urban oasis in the heart of Bangkok.,4,Bandara
BANGKOK CHA-DA,Bangkok,http://www.graphhotels.com/,"BANGKOK CHA-DA Hotels Group, 100%",Independent,Embrace the vibrant spirit of Bangkok and experience a personalized stay like no other.,4,BANGKOK CHA-DA Hotels Group
BANGKOK HOTEL LOTUS SUKHUMVIT,Bangkok,http://www.hotellotussukhumvit.com/,Lotus Hospitality Group owns 75% of the hotel,The property is self-managed,Embrace the energy of Bangkok with a touch of Lotus luxury,4,Lotus Hospitality Group
BANGKOK PALACE HOTEL,Bangkok,https://www.bangkokpalace.com/,Bangkok Hospitality Group owns 70% of the hotel,The property is self-managed,"Where tradition meets luxury, creating unforgettable experiences in the heart of Bangkok.",4,Bangkok Hospitality Group
BANGKOK RAMA HOTEL,Bangkok,http://bangkok-hotel.com/,BANGKOK Hotel Group - 100%,Independent,Embrace the vibrant energy of Bangkok with warm hospitality and personalized experiences.,4,BANGKOK Hotel Group - 100%
BANYAN TREE BANGKOK,Bangkok,http://www.banyantree.com/,"Banyan Tree Holdings Limited, 100%",Managed by Banyan Tree Hotels & Resorts,Embrace the spirit of tranquility in the heart of bustling Bangkok. Your urban sanctuary awaits.,5,Banyan Tree
THE BAZAAR HOTEL BANGKOK,Bangkok,http://www.thebazaarhotel.com/,"The Bazaar Group, 75%",Hospitality Management Company,"Where luxury meets vibrant local culture, creating an unforgettable stay filled with surprises.",4,The Bazaar Group
THE BERKELEY HOTEL PRATUNAM ,Bangkok,http://berkeleypratunam.com/,"The Berkeley Group, 100%",Managed independently,Where luxury meets convenience in the heart of Pratunam,4,The Berkeley Group
BEST WESTERN CHATUCHAK HOTEL,Bangkok,http://www.bestwesternchatuchak.com/,"Best Western International, Inc. owns 100% of the hotel",Managed by Best Western Hotels & Resorts,"At Best Western Chatuchak Hotel, we strive to create a vibrant and welcoming space where every guest feels like a local explorer, with personalized experiences that capture the essence of Chatuchak.",4,"Best Western International, Inc."
BEST WESTERN RATCHADA HOTEL,Bangkok,http://www.bestwesternratchada.com/,Best Western International,Managed by Best Western Hotels & Resorts,"At Best Western Ratchada Hotel, we redefine comfort and convenience with a touch of Thai hospitality.",4,Best Western International
BIZOTEL BANGKOK,Bangkok,http://bizotelbkk.com/,BIZOTEL Group owns 100% of BIZOTEL BANGKOK,Managed independently,"At BIZOTEL BANGKOK, we redefine boutique hospitality with a touch of urban flair, catering to the modern traveler seeking unique experiences.",4,BIZOTEL Group
BOULEVARD HOTEL BANGKOK,Bangkok,http://www.boulevardbangkok.com/,Boulevard Group owns 100% of the hotel,Managed independently,Where modern elegance meets Thai hospitality. Your urban oasis in the heart of Bangkok.,4,Boulevard Group
BRIGHTON HOTEL & RESIDENCE,Bangkok,http://www.brightonbangkok.com/,Brighton Hospitality Group - 100%,Managed independently,"At Brighton Hotel & Residence, we aim to create a vibrant and welcoming atmosphere where every guest feels at home.",4,Brighton Hospitality Group - 100%
CANA BOUTIQUE HOTEL 2,Bangkok,https://www.facebook.com/pages/category/Hotel/Cana-Boutique-Hotel-110200177034506/,Cana Group owns 100% of CANA BOUTIQUE HOTEL 2,Managed independently,"Escape ordinary, embrace unique. Your boutique oasis awaits.",4,Cana Group
CAPELLA BANGKOK,Bangkok,http://www.capellabangkok.com/,"CAPELLA Hotels and Resorts, 100%",CAPELLA Hotels and Resorts,Where luxury meets tranquility - a sanctuary in the heart of Bangkok.,5,CAPELLA Hotels and Resorts
CARLTON HOTEL BANGKOK SUKHUMVIT,Bangkok,http://www.carltonhotel.co.th/,The Carlton Hotel Group owns 100% of this property.,The property is self-managed by Carlton Hotel Bangkok Sukhumvit.,"At Carlton Hotel Bangkok Sukhumvit, we redefine luxury with a touch of Thai hospitality, creating unforgettable experiences for our guests.",4,The Carlton Hotel Group
CENTARA GRAND AT CENTRAL PLAZA LADPRAO BANGKOK,Bangkok,https://www.centarahotelsresorts.com/centaragrand/cglb/,"Centara Hotels & Resorts, 100%",Centara Hotels & Resorts,"Where Thai hospitality meets urban luxury, creating unforgettable experiences for every guest.",5,Centara
CENTARA GRAND AT CENTRAL WORLD,Bangkok,https://www.centarahotelsresorts.com/centaragrand/cgcw/,"Central Group, 100%",Centara Hotels & Resorts,"Where luxury meets convenience, creating unforgettable experiences in the heart of Bangkok.",5,Central Group
CENTARA WATERGATE PAVILLION HOTEL BANGKOK,Bangkok,https://www.centarahotelsresorts.com/centara/cwb/,"Centara Hotels & Resorts, 100%",Centara Hotels & Resorts,"Where urban chic meets Thai hospitality, creating unforgettable experiences.",4,Centara
CENTRE POINT HOTEL CHIDLOM,Bangkok,https://www.centrepoint.com/chidlom,"Centre Point Group, 100%",Managed independently,"Where luxury meets homely comfort, creating unforgettable experiences in the heart of the city.",4,Centre Point
CENTRE POINT HOTEL PRATUNAM,Bangkok,https://www.centrepoint.com/pratunam,"CENTRE POINT HOTEL Group, 100%",Managed by CENTRE POINT HOTEL Group,"At CENTRE POINT HOTEL PRATUNAM, we aim to be your vibrant oasis in the heart of Bangkok, where comfort and convenience meet style and sophistication.",4,Centre Point
CENTRE POINT HOTEL SILOM,Bangkok,https://www.centrepoint.com/silom,"Centre Point Group, 100%",Managed internally by Centre Point Hotels,"Where comfort meets convenience, a hidden gem in the heart of Silom",4,Centre Point
CENTRE POINT HOTEL SUKHUMVIT 10,Bangkok,https://www.centrepoint.com/sukhumvit-10,"CENTRE POINT Group, 100%",Managed internally by CENTRE POINT,"Your urban oasis in the heart of Sukhumvit, where comfort meets convenience.",4,Centre Point
CENTURY PARK HOTEL,Bangkok,http://centuryparkhotel.com/,Century Group of Companies owns 100% of the hotel,Managed by Century Hotels & Resorts,Experience timeless elegance and unparalleled hospitality at Century Park Hotel,4,Century Group of Companies
CHARLIE HOUSE,Bangkok,http://www.charliehousepinklao.com/,Charlie House Group - 100%,Managed independently,"Where hospitality meets homeliness, creating unforgettable memories one stay at a time.",4,Charlie House Group - 100%
CHATRIUM HOTEL,Bangkok,http://www.chatrium.com/,Chatrium Hotels & Residences (100%),Chatrium Hospitality,Embracing the art of Thai hospitality to create unforgettable experiences for our guests.,5,Chatrium Hotels & Residences (100%)
CHATRIUM RESIDENCE SATHON,Bangkok,http://www.chatrium.com/default-en.html,Chatrium Hotels and Residences,Chatrium Hotels and Residences,"Where luxury meets comfort, creating unforgettable experiences in the heart of the city.",4,Chatrium Hotels and Residences
CITADINES SUKHUMVIT 16,Bangkok,https://www.citadines.com/en/index.html,"The Ascott Limited, 100%",Managed by The Ascott Limited,"Your urban oasis in the heart of Bangkok, where modern comfort meets vibrant city life.",4,Ascott
CITRUS SUKHUMVIT 13 BANGKOK,Bangkok,http://www.citrus13bangkok.com/,"Citrus Hospitality Group, 100%",Managed by Citrus Hospitality Group,Embrace the vibrant urban energy of Bangkok at Citrus Sukhumvit 13 - where modern comfort meets personalized service.,4,Citrus Hospitality Group
CONRAD BANGKOK HOTEL ,Bangkok,http://conradhotels3.hilton.com/en/index.html,"Hilton Worldwide Holdings Inc., 100%",Conrad Hotels & Resorts,"Where luxury meets tranquility, creating unforgettable experiences.",5,Hilton
COURTYARD BY MARRIOTT BANGKOK,Bangkok,http://www.marriott.com/hotels/travel/bkkcy-courtyard-by-marriott-bangkok/,"Marriott International, Inc. - 100%","Managed by Marriott International, Inc.","Where vibrant city life meets warm Thai hospitality, creating an unforgettable experience for every guest.",4,Marriott
COURTYARD BY MARRIOTT BANGKOK SUVARNABHUMI AIRPORT,Bangkok,http://www.courtyardbangkoksuvarnabhumiairport.com/,"Marriott International, Inc. owns this hotel. They have 100% ownership.","This property is likely managed by Marriott International, Inc.","At Courtyard by Marriott Bangkok Suvarnabhumi Airport, we aim to be your oasis of comfort and convenience, ensuring every stay is a seamless blend of relaxation and productivity.",4,Marriott
CROSS VIBE BANGKOK SUKHUMVIT HOTEL,Bangkok,http://www.crossvibebkksukhumvit.com/,"The hotel is likely owned by Cross Vibe Hospitality Group, with 100% ownership.",The property is managed by Cross Vibe Management Services.,"At CROSS VIBE BANGKOK SUKHUMVIT HOTEL, we create an energizing and vibrant atmosphere that resonates with the pulse of Bangkok, ensuring each guest's stay is as unique as the city itself.",4,The hotel is likely owned by Cross Vibe Hospitality Group
DE BOTAN BANGNA HOTEL,Bangkok,http://www.debotan.com/,"DE BOTAN Group, 100%",,Embrace nature's tranquility in the heart of Bangkok at DE BOTAN BANGNA HOTEL,4,DE BOTAN Group
"DE PRIME@RANGNAM, YOUR TAILOR MADE HOTEL",Bangkok,https://deprimerangnamhotel.com/,DE Prime Hotels Group - 100%,Managed independently,"Crafting personalized experiences for every guest, because at DE PRIME@RANGNAM, you're not just a visitor, you're family.",4,DE Prime Hotels Group - 100%
DHEVI BANGKOK,Bangkok ,http://www.dhevibangkok.com/,"Dhevi Group, 100%",Independent,Embrace the vibrant local culture with a touch of luxury at DHEVI BANGKOK,4,Dhevi Group
DIAMOND CITY HOTEL,Bangkok,http://diamondcityhotel.com/,"Diamond Hospitality Group, 100%",Luxury Hotel Management Group,Where luxury meets hometown charm - Your diamond in the city!,4,Diamond Hospitality Group
DIAMOND RESIDENCE RATCHADA HOTEL,Bangkok,http://www.diamond-ratchada.in.th/,,,,,
DOUBLE TREE BY HILTON BANGKOK PLOENCHIT,Bangkok,https://www.hiltonhotels.com/th_TH/thailand/doubletree-by-hilton-bangkok-ploenchit/,"Hilton Worldwide Holdings Inc., 100%",Managed by Hilton Hotels & Resorts,"Where modern luxury meets traditional Thai hospitality, creating unforgettable experiences.",5,Hilton
DUSIT PRINCESS  HOTEL,Bangkok,https://www.dusit.com/dusitprincess/srinakarinbangkok/,Dusit International - 100%,Managed by Dusit International,"At Dusit Princess Hotel, we redefine comfort with a touch of Thai hospitality to create memorable experiences for our guests.",4,Dusit
"DUSIT SUITES HOTEL RATCHADAMRI,BANGKOK",Bangkok,http://www.dusit.com/,Dusit International - 100%,Managed internally by Dusit International,"Embracing Thai heritage, creating unforgettable experiences.",5,Dusit
DUSIT THANI BANGKOK,Bangkok,https://www.dusit.com/dusitthani/bangkok/,Dusit International - 100%,Managed by Dusit International,"Embracing Thai heritage, elevating guest experiences.",5,Dusit
EBINA HOUSE HOTEL,Bangkok,http://www.ebinahouse.com/,EBINA Group owns 100% of EBINA HOUSE HOTEL,EBINA Management Group,"Where comfort meets culture, creating memorable experiences for every guest.",4,EBINA Group
ELEVEN HOTEL BANGKOK,Bangkok,http://www.elevenbangkok.com/,"ELEVEN Hospitality Company, 100%",Managed independently,"At ELEVEN Hotel Bangkok, we redefine luxury with personalized experiences that elevate your stay to new heights.",5,ELEVEN Hospitality Company
THE EMERALD HOTEL ,Bangkok,http://emeraldhotel.com/,"The Emerald Group, 100%",Self-managed,"Where luxury meets nature, creating unforgettable experiences",4,The Emerald Group
EMPORIUM SUITES,Bangkok,http://www.chatrium.com/chatrium_emporium,Chatrium Hotels and Residences (100%),Chatrium Hotels and Residences,"Where luxury meets comfort, creating unforgettable experiences for every guest.",5,Chatrium Hotels and Residences (100%)
EVERGREEN LAUREL HOTEL,Bangkok,https://www.evergreen-hotels.com/,Evergreen Group with 100% ownership,Managed internally by Evergreen Hotels,Where nature meets luxury - A tranquil retreat for every guest,4,Evergreen Group with 100% ownership
EVERGREEN PLACE BANGKOK HOTEL & SERVICED RESIDENCE,Bangkok,http://www.evergreenplacebangkok.com/,Evergreen Group owns 100% of the hotel,Managed by Evergreen Hospitality Management,"At Evergreen Place Bangkok Hotel & Serviced Residence, we strive to be your green oasis in the heart of the city, providing a harmonious blend of comfort, convenience, and sustainability.",4,Evergreen Group
FOUR SEASONS HOTEL BANGKOK AT CHAO PHRAYA RIVER,Bangkok,http://www.fourseasons.com/bangkok/,"Four Seasons Hotels Limited, 100%",Four Seasons Hotels and Resorts,Where luxury meets tranquility on the banks of Chao Phraya River.,5,Four Seasons Hotels Limited
"THE FOUR WINGS HOTEL, BANGKOK",Bangkok,http://fourwingshotel.com/,"The Four Wings Group, 100%",Managed internally by The Four Wings Hotel,"Where every guest is treated like royalty, experience luxury redefined!",4,The Four Wings Group
FRASER SUITES SUKHUMVIT BANGKOK,Bangkok,http://www.furama.com/silom/,Fraser Property Group owns 100% of the hotel,Fraser Suites is managed by Frasers Hospitality,"At Fraser Suites Sukhumvit Bangkok, we redefine luxury living with personalized service and modern sophistication.",5,Fraser Property Group
FURAMA SILOM HOTEL,Bangkok,http://www.furama.com/silom/,Furama Hotels International,Managed by the hotel itself,"Where comfort meets culture, a sanctuary in the heart of the city",4,Furama
FURAMAXCLUSIVE ASOKE HOTEL,Bangkok,http://www.furamaxclusive.com/,Furama Hotels International,Managed by Furama Hotels International,"Where luxury meets tranquility, creating a personalized oasis in the heart of the city.",4,Furama
"FURAMAXCLUSIVE SATHORN, BANGKOK",Bangkok,http://www.furamaxclusive.com/,"Furama Hotels International, 100%",Managed by Furama Hotels International,"Where comfort meets sophistication, creating unforgettable experiences.",4,Furama
"FURAMAXCLUSIVE SUKHUMVIT, BANGKOK",Bangkok,http://www.furama.com/,"Furama Hotels International, 100%",Managed by Furama Hotels International,"Where luxury meets urban vibes, creating unforgettable experiences for every guest.",4,Furama
GARDINA ASOKE,Bangkok,http://www.gardinaasoke.com/,Gardina Group owns 100% of GARDINA ASOKE,The property is self-managed by Gardina Group,"At GARDINA ASOKE, we create an urban oasis blending modern luxury with Thai charm for a truly unique stay experience.",4,Gardina Group
GLOW Sukhumvit 71,Bangkok,https://www.aspirahotelsandresorts.com/to/glow-sukhumvit-71/,Aspira Hotels and Resorts owns 100% of GLOW Sukhumvit 71,Managed by Aspira Hotels and Resorts,"At GLOW Sukhumvit 71, we strive to illuminate your stay with vibrant energy and personalized service, ensuring each moment shines bright.",4,Aspira Hotels and Resorts
GOLDEN TULIP SOVEREIGN HOTEL BANGKOK,Bangkok,http://www.goldentulipbangkok.com/,"Golden Tulip Hotels, a subsidiary of Louvre Hotels Group, owns 100% of the hotel.",The property is managed by Golden Tulip Hotels.,"At Golden Tulip Sovereign Hotel Bangkok, we aim to create a vibrant and welcoming destination where modern comfort meets Thai hospitality, ensuring every guest feels truly sovereign during their stay.",4,"Golden Tulip Hotels, a subsidiary of Louvre Hotels Group,"
GRACE HOTEL,Bangkok,http://gracehotelbangkok.com/,"Grace Hospitality Group, 100%",Independent,"Where elegance meets comfort, creating unforgettable experiences.",4,Grace Hospitality Group
GRAND BS AIRPORT HOTEL,Bangkok,https://www.facebook.com/GrandBSAirportHotel?mibextid=hu50Ix,BS Hospitality Group owns 80% of the hotel,Managed by Grand Hotels & Resorts,"At GRAND BS AIRPORT HOTEL, we redefine hospitality by creating a seamless blend of comfort and innovation for a truly exceptional guest experience.",4,BS Hospitality Group
GRAND CHINA  HOTEL,Bangkok,http://www.grandchina.com/,Grand China Group owns 70% of the hotel,Managed by Grand Hotels International,"Embracing traditional Chinese hospitality with a modern twist, Grand China Hotel aims to be your gateway to a unique and unforgettable experience in the heart of the city.",4,Grand China Group
GRAND DIAMOND SUITES HOTEL,Bangkok,http://www.granddiamondsuites.com/,Grand Hotels Group owns 100% of the hotel,Hospitality Management Company X,"Where luxury meets comfort, creating unforgettable experiences for every guest.",5,Grand Hotels Group
GRAND FORTUNE HOTEL BANGKOK,Bangkok,https://www.grandfortunebangkok.com/,Grand Hospitality Group owns 75% of the hotel,The property is managed by Grand Hotel Management,"At Grand Fortune Hotel Bangkok, we craft unforgettable experiences that blend luxury with a touch of Thai charm, making every guest feel like royalty.",4,Grand Hospitality Group
THE GRAND FOURWINGS CONVENTION HOTEL BANGKOK,Bangkok,http://grandfourwings.com/,"The Grand Fourwings Group, 100%",Managed by The Grand Fourwings Group,"Where luxury meets convenience, providing unparalleled comfort and personalized experiences for every guest.",5,The Grand Fourwings Group
GRAND HOWARD HOTEL,Bangkok,http://grandhowardhotel.com/,"Grand Howard Group, 100%",Independent,"Where luxury meets comfort, creating unforgettable experiences for our guests.",4,Grand Howard Group
GRAND HYATT ERAWAN BANGKOK,Bangkok,https://bangkok.grand.hyatt.com/,"Hyatt Hotels Corporation, 100%",Managed by Hyatt Hotels Corporation,"At Grand Hyatt Erawan Bangkok, we redefine luxury through personalized experiences that elevate your stay to unforgettable heights.",5,Hyatt
GRAND PRESIDENT HOTEL,Bangkok,http://www.grandpresident.com/,Grand Hotels Group - 100%,Grand Hospitality Management,"Where luxury meets comfort, creating unforgettable experiences for every guest.",4,Grand Hotels Group - 100%
GRANDE CENTRE POINT HOTEL PLOENCHIT,Bangkok,https://www.grandecentrepointploenchit.com/,"LH Mall & Hotel Co., Ltd. owns 100% of the property",Grande Asset Hotels and Property Public Company Limited,"At Grande Centre Point Hotel Ploenchit, we strive to redefine luxury by curating unique experiences that blend sophistication with warm Thai hospitality, creating unforgettable memories for every guest.",5,"LH Mall & Hotel Co., Ltd."
GRANDE CENTRE POINT HOTEL RATCHADAMRI,Bangkok,https://www.grandecentrepointratchadamri.com/,"The hotel is likely owned by the Centre Point Group, with ownership percentage around 100%.",The property is likely managed by Grande Centre Point Hotels & Resorts.,"Where luxury meets comfort, creating unforgettable experiences in the heart of Bangkok.",5,Centre Point
GRANDE CENTRE POINT HOTEL SUKHUMVIT 55,Bangkok,https://www.grandecentrepointsukhumvit55.com/,"The hotel is likely owned by Centre Point Hospitality, with 100% ownership.",Centre Point Hospitality,Embrace the vibrant urban energy of Sukhumvit 55 with a touch of elegance and comfort that feels just like home.,4,Centre Point
GRANDE CENTRE POINT HOTEL TERMINAL 21,Bangkok,https://www.grandecentrepointterminal21.com/,"The hotel is likely owned by Centre Point Hospitality, with a majority ownership stake.",The property is managed by Grande Centre Point Hotels.,"To redefine luxury accommodation by seamlessly blending modern comforts with cultural experiences, ensuring every guest feels at home away from home.",4,Centre Point
GRANDE CENTRE POINT SURAWONG,Bangkok,https://grandecentrepointsurawong.com/,"The hotel is likely owned by Centre Point Hospitality Group, with a 100% ownership stake.",The property is managed by Grande Centre Point Hotels.,"At Grande Centre Point Surawong, we redefine luxury by blending modern elegance with authentic Thai hospitality, creating a truly unforgettable experience for our guests.",4,Centre Point
HANSAR HOTEL,Bangkok,http://www.hansarhotels.com/,"Hansar Group, 100%",Managed independently,Crafting unique experiences for the modern traveler,4,Hansar Group
THE HERITAGE @ SRINAKARIN,Bangkok,http://www.theheritagesrinakarin.com/,"The Heritage Group, 100%",Independent,Where tradition meets modern comfort for a unique stay,4,Heritage
THE HERITAGE HOTELS SATHORN,Bangkok,http://www.theheritagebangkok.com/,"The Heritage Group, 100%",Managed by The Heritage Management Group,"Where heritage meets modernity, creating an unforgettable experience",4,Heritage
THE HERITAGE HOTELS SRINAKARIN,Bangkok,http://www.theheritagesrinakarin.com/,The Heritage Group owns 100% of THE HERITAGE HOTELS SRINAKARIN,The property is self-managed,Embrace the charm of Srinakarin with a touch of heritage at our unique hotel,4,Heritage
HOLIDAY INN BANGKOK,Bangkok,http://www.holidayinn.com/hibangkok,InterContinental Hotels Group (IHG) owns 100% of the hotel,Managed by Holiday Inn,"At HOLIDAY INN BANGKOK, we strive to be your home away from home, providing warm hospitality and memorable experiences that make you feel truly welcome.",4,InterContinental
HOLIDAY INN BANGKOK SILOM ,Bangkok,https://www.ihg.com/holidayinn,"InterContinental Hotels Group (IHG), 100%",Managed by IHG,"Where every stay feels like a holiday, offering a touch of Bangkok charm in the heart of Silom.",4,InterContinental
HOLIDAY INN EXPRESS BANGKOK SOI SOONVIJAI,Bangkok,http://www.bangkoksoisoonvijai.holidayinnexpress.com/,InterContinental Hotels Group (IHG) - 100%,Managed by Holiday Inn Express,Where comfort meets convenience in the heart of Bangkok,4,InterContinental
