Name,Title,Company
West Midlands Combined Authority,Craig Patterson,Chief Development Officer
Cycas Hospitality,Chris Penny,Senior Vice President
Starwood Capital Group,Ina Plunien,Vice-President Asset Management & Acquisition
Cedar Capital Partners Ltd,Vincent Purino,EU Business Development Manager
Verdant Energy Management Solutions,Jacob Rasin,SVP Transactions
Pandox AB,Tobias Reinecke,Director Investments & Strategic Partnerships EMEA
Choice Hotels,Julie Rey-Gore,Sr Content Director - Operational Real Estate
Questex,Aoife Roche,"Senior Director, Commercial"
STR,Adrian Ruch,Director Investment & Asset Management
Azure Hotels Limited,SS,Sabine Schaffer
Co-Founder & CEO Europe,Pro-invest Group,Rob Seabrook
Executive Director - Hotel Investment Properties,CBRE,Shaun Sequeira
Senior Country Lead UK & Ireland,HiJiffy,Cheryl Sheppard
Partner & Chief Marketing Officer,TGP International,Robert Shrimsley
Editorial Director and UK Political Commentator,Financial Times,Bob Silk
Relationship Director,"Barclays Bank, Hospitality & Leisure Team",Jason Simpson
CEO,RAW Charging,Steven Smit
Director,Vertiq Capital,Kristian Smyth
Managing Director,Tristan Capital Partners,Joe Stather
Vice President Operational Real Estate,Questex,John Straw
"Tech Startup Investor, AI Consultant",Leading Speaker on Disruptive Innovation,Peter Sugden
Consultant,Clyde & Co LLP,Ifeoluwa Taiwo
Associate Editor,Hospitality Investor,Kay Tierney
Hotel Portfolio Director and Asset Manager,Lake Merritt Capital,Matt Townley
Group Operations Director,Dakota Hotels,Scot Turner
Founder & Managing Director,Auden Hospitality,Martijn Van Der Graaf
COO Western Europe,AccorInvest,Steve Walford
Vice President,Cedar Capital Partners,Tej Walia
Managing Director,Foxhills Collection,Matt Walton
"Head of Development, UK&I",IHG Hotels & Resorts,Timothy Walton
"Senior Vice President – Western Europe, International Hotel Development",Marriott International,Patrick Whyte
Editor-in-Chief,Hospitality Investor,Simon Wood
Chef Director,WOOD Restaurant Group,Emma Young
UK Head of Syndication Finance,AIB,Winston Zahra
