Name,Title,Company
Troy Hickox,Head of Hotels and Lifestyle Development,Galaxy Entertainment Group
Bobby Hiranandani,Co-Chairman,Royal Group
Dr Seth Huang,Chief Investment Officer & Head of AI Strategies,MicroBit Capital Management
Christopher Hur,Group Chief Executive Officer,Lodgis Hospitality Holdings
Ruslan Husry,CEO and Owner,HR Group
Ashish Jakhanwala,Founder and Chief Executive Officer,SAMHI
Girish Jhunjhnuwala,CEO and Chairman,Ovolo Group
Yoshiki Kaneda,President and Chief Executive Officer,Seibu Prince Hotels Worldwide Inc
Alexi Khajavi,President,Questex
Gaurang Khemka,Founder,URBNarc
Gary Kwok,CEO and Managing Partner,Axe Management Partners Limited
Ines Lam,"Associate Director, Asia Economics",HSBC
Johnny Lam,Founder,Dreamland Beach Club
Gregory Lanter,"Chief Development, Construction and Property Officer & CEO Mountain Strategy",Club Med
Jonathan Law,Vice President - Mainland China and Overseas Projects,Liu Chong Hing Investment Limited
Dr Rik van Leeuwen,Head of Data,Ireckonu
Claire Lim,"Director, Hotels and Hospitality, Asia Pacific",CBRE
Lee Lin,"Regional Director, APAC",NOBU Hotels
David Ling,Global Head of Hospitality Investments,City Developments Limited
James Mabbutt,Development Director,Mandarin Oriental Hotel Group
Kenneth Macpherson,"Chief Executive Officer, Europe, Middle East, Asia and Africa",IHG
Simon Manning,Managing Director,Nina Hospitality
Sanjog Modgil,Head of Overseas Hotels,TCC Land International (Thailand)
Sameer Nayar,Executive Vice President – Strategic Development,The Oberoi Group of Hotels and Resorts
Xander Nijnens,"Senior Managing Director, Head of Advisory & Asset Management, Hotels & Hospitality, Asia-Pacific",JLL
Liz Ortiguera,Managing Director of Asia Pacific and Sr. Advisor to the CEO,World Travel & Tourism Council (WTTC)
Jesper Palmqvist,"Senior Director, Asia Pacific",STR
Rahul Parrab,Co-Founder and Chief Executive Officer,Ark Capital Partners
Rakesh Patel,CEO and Founder,Alta Capital Real Estate
Huu Duc Phan,"Regional Business Development Director, Asia",TUI BLUE Hotels & Resorts
Rico Picenoni,Head of Consultancy,Savills
Ananth Ramchandran,"Head of Hotel Advisory & Strategic Transactions, Asia, Capital Markets",CBRE
Eric Ricaurte,Founder and CEO,Greenview
Jan Jaap Van Roon,Founder & CEO,Ireckonu
Gary Rosen,Chief Executive Officer,Accor Greater China
Tony Ryan,Executive Chair,Trilogy Hotels
Abhijay Sandilya,"Managing Director, Japan & Micronesia/CEO",IHG Hotels & Resorts/IHG ANA Hotels Group Japan
IB Saravanan,Vice President and Market Leader,Questex Asia
Dr Sabine Schaffer,"Co-Founder and CEO, Europe",Pro-invest Group
Ingo Ronald Schweder,Founder & CEO,GOCO Hospitality
Lada Shelkovnikova,"Partner, Hotels & Hospitality",Watson Farley & Williams LLP
Eric Siegel,Head of APAC Hospitality,EQT Exeter
Natapa (Joy) Sriyuksiri,Managing Director - Dusit Estate and Group Creative Strategy,Dusit International
Joe Stather,Vice President/Market Leader,Questex
Chitra Stern,CEO,Martinhal Resort
Clarence Tan,"Senior Vice President, Development, Asia Pacific",Hilton
Clarence Tan,"Senior Vice President of Development, Asia Pacific",Hilton
Manav Thadani,Founder Chairman,Hotelivate
Harvey Thompson,"Managing Director, Eaton Workshop",Langham Hospitality Group
Dan Voellm,CEO and Founder,AP Hospitality Advisors
Alan Watts,"President, Asia Pacific",Hilton
James Wilkinson,Group President,AHICE
Jia Wu,"Vice President of Development, Construction and Project Management",ClubMed Northeast Asia
Glass Wu,CEO and Founder,Japan Hana Real Estate
Peter Wynne,Senior Vice President,Artyzen Hospitality Group
Camil Yazbeck,"Global Chief Development Officer, Premium, Midscale & Economy",Accor
Daniel Yip,Partner,High Street Holdings Singapore
Elie Younes,Executive Vice President & Global Chief Development Officer,Radisson Hotel Group
Murphy Zhu,"President, Asia Pacific",H World Group International
